Time, TOTAL poly_A,FREE poly_A,BOUND poly_A,TOTAL poly_B,FREE poly_B,BOUND poly_B,
0.0,15,15,0,15,15,0,
0.001000000000002041,15,10,5,15,10,5,
0.002000009999996102,15,9,6,15,9,6,
0.0030000099999901633,15,11,4,15,11,4,
0.0040000099999842244,15,10,5,15,10,5,
0.005000009999978286,15,12,3,15,12,3,
0.006000009999972347,15,10,5,15,9,6,
0.007000009999966408,15,11,4,15,11,4,
0.00800000999996047,15,6,9,15,6,9,
0.00900000999995453,15,7,8,15,6,9,
0.010000009999948592,15,6,9,15,4,11,
0.011000009999942653,15,6,9,15,5,10,
0.012000009999936714,15,5,10,15,5,10,
0.013000009999930775,15,6,9,15,6,9,
0.014000009999924836,15,8,7,15,9,6,
0.015000009999918898,15,7,8,15,8,7,
0.016000009999978013,15,7,8,15,8,7,
0.017000000000145545,15,5,10,15,6,9,
0.018000000000313078,15,5,10,15,6,9,
0.01900000000048061,15,5,10,15,5,10,
0.020000000000648145,15,7,8,15,6,9,
0.02100000000081568,15,5,10,15,7,8,
0.022000000000983212,15,6,9,15,7,8,
0.023000000001150746,15,7,8,15,8,7,
0.02400000000131828,15,7,8,15,7,8,
0.025000000001485813,15,8,7,15,6,9,
0.026000000001653346,15,9,6,15,9,6,
0.02700000000182088,15,7,8,15,5,10,
0.028000000001988413,15,7,8,15,6,9,
0.029000000002155947,15,7,8,15,8,7,
0.03000000000232348,15,7,8,15,6,9,
0.031000000002491014,15,6,9,15,6,9,
0.03200000000265855,15,9,6,15,9,6,
0.03300000000282608,15,7,8,15,6,9,
0.034000000002993615,15,6,9,15,6,9,
0.03500000000316115,15,6,9,15,5,10,
0.03600000000332868,15,7,8,15,4,11,
0.037000000003496215,15,6,9,15,5,10,
0.03800000000366375,15,5,10,15,4,11,
0.03900000000383128,15,4,11,15,4,11,
0.040000000003998816,15,5,10,15,4,11,
0.04100000000416635,15,8,7,15,9,6,
0.04200000000433388,15,8,7,15,8,7,
0.04300000000450142,15,8,7,15,7,8,
0.04400000000466895,15,7,8,15,6,9,
0.045000000004836484,15,6,9,15,4,11,
0.04600000000500402,15,5,10,15,6,9,
0.04700000000517155,15,5,10,15,5,10,
0.048000000005339084,15,6,9,15,4,11,
0.04900000000550662,15,5,10,15,4,11,
0.05000000000567415,15,6,9,15,7,8,
